ID,X1 - Customer Type,X2 - Industry Type,X3 - Firm Size,X4 - Region,X5 - Distribution System,X6 - Product Quality,X7 - E-Commerce,X8 - Technical Support,X9 - Complaint Resolution,X10 - Advertising,X11 - Product Line,X12 - Salesforce Image,X13 - Competitive Pricing,X14 - Warranty & Claims,X15 - New Products,X16 - Order & Billing,X17 - Price Flexibility,X18 - Delivery Speed,X19 - Satisfaction,X20 - Likely to Recommend,X21 - Likely to Purchase,X22 - Purchase Level,X23 - Consider Strategic Alliance
120,Less than 1 year,Magazine industry,Large (500+),Outside North America,Indirect through broker,8.1,2.5,3.2,3.9,4.1,5.1,3.8,6.6,5.4,6.2,2.6,3.5,3,6.4,5.9,7.1,51.1,"No, would not consider"
121,1 to 5 years,Magazine industry,Large (500+),Outside North America,Direct to customer,7.4,5.1,5,8.3,5,7.2,6.9,9.6,6.3,4.3,5.7,6.5,5.5,9,7.5,8.8,74.1,"Yes, would consider"
122,1 to 5 years,Newsprint industry,Large (500+),Outside North America,Indirect through broker,7.9,3,5.5,6.2,4.3,4.2,4.8,9.7,5.5,4.6,4.8,5.4,3.5,6.4,6.5,8,57.1,"No, would not consider"
123,Less than 1 year,Magazine industry,Large (500+),Outside North America,Indirect through broker,7.7,2.2,6.8,3.4,2.4,4.7,3.4,6.2,6.7,4.3,3.2,3.1,2.6,6,6.4,7.7,47.1,"No, would not consider"
124,Over 5 years,Magazine industry,Large (500+),Outside North America,Direct to customer,9.4,2.5,6.4,7,3.2,7.3,4.6,6.3,6.5,5.4,5.8,4.6,4.6,8.7,7.9,8.2,66.1,"Yes, would consider"
125,Less than 1 year,Newsprint industry,Large (500+),Outside North America,Indirect through broker,7.2,4.3,4.1,4.2,3.9,3.4,4.7,Excellent,5.5,3.6,3.2,4.1,2.5,5,6.1,6.5,52.1,"No, would not consider"
126,1 to 5 years,Magazine industry,Small (0 to 499),USA/North America,Direct to customer,8.3,3.7,4.9,4,5.3,6.1,6.1,5.3,5.8,7.4,4.1,2.9,3.1,7.4,8,8.1,54.1,"Yes, would consider"
127,Over 5 years,Newsprint industry,Small (0 to 499),USA/North America,Indirect through broker,7.9,3.9,4.1,6.6,4.9,6.9,5.8,4.7,6,6.7,4.6,4.2,4.3,8.6,6.5,8.1,61.1,"Yes, would consider"
128,Less than 1 year,Newsprint industry,Large (500+),Outside North America,Indirect through broker,7.3,3.6,8.5,4,3.6,5.2,6.1,8,7.3,2.9,3.3,3.3,2.9,5.8,6,6.9,46.1,"No, would not consider"
129,Over 5 years,Newsprint industry,Large (500+),Outside North America,Direct to customer,9.6,5.7,6.1,6.2,5.6,8.2,7.8,4.5,7.1,4.8,4.4,3,4.3,9.8,8.1,9.3,70.1,"Yes, would consider"
130,Less than 1 year,Magazine industry,Small (0 to 499),USA/North America,Indirect through broker,8.3,2.8,4.8,2.6,3,5.7,2.5,5.2,5.4,2.8,1.2,2.5,2.1,4.8,5,6.2,47.1,"No, would not consider"
131,1 to 5 years,Magazine industry,Small (0 to 499),USA/North America,Direct to customer,8.6,3.6,7.5,6.1,2.9,7.3,4.7,3.7,7.3,5.2,5,3.4,4,7,6.9,8,60.1,"Yes, would consider"
132,Over 5 years,Newsprint industry,Small (0 to 499),USA/North America,Indirect through broker,8,2.5,3.9,6.9,3.4,7.7,3,5.2,5.4,6.8,4.6,4.2,4.7,5.5,5.6,7.1,65.1,"No, would not consider"
133,Less than 1 year,Newsprint industry,Small (0 to 499),Outside North America,Indirect through broker,6.4,3.2,4.3,1.5,2.2,2.9,5,8.4,6,7,2.4,3.7,1.6,5,5.1,6.5,37.1,"No, would not consider"
134,Less than 1 year,Magazine industry,Large (500+),Outside North America,Indirect through broker,6.6,3.8,5.1,6.3,3.2,5.3,6.6,8.2,6.4,2.9,4.3,4.1,3.3,6,6.9,7.1,53.1,"No, would not consider"
135,1 to 5 years,Magazine industry,Large (500+),USA/North America,Direct to customer,7.6,2.5,5.1,6,3.2,7.1,4.2,5.8,5.4,6.2,3.6,3.8,4.2,8,7.5,8.2,51.1,"No, would not consider"
136,Over 5 years,Newsprint industry,Small (0 to 499),USA/North America,Direct to customer,9.4,4.1,6,5.6,3.4,7.8,4.7,7.6,6.5,6,5.1,3.7,4.4,7.9,7.1,7,75.1,"Yes, would consider"
137,Less than 1 year,Magazine industry,Small (0 to 499),USA/North America,Indirect through broker,8.3,2.8,2.4,3.1,3,5.7,2.5,5.2,4.8,4.2,1.8,2.5,2.1,4.8,5.8,6.7,47.1,"No, would not consider"
138,1 to 5 years,Newsprint industry,Small (0 to 499),Outside North America,Direct to customer,7.8,4.9,6.4,5.7,5.8,5.3,7.1,7.9,6.4,5.2,4.1,4.9,3.9,6.4,6.6,7.5,61.1,"Yes, would consider"
139,Less than 1 year,Newsprint industry,Large (500+),Outside North America,Indirect through broker,7.1,4.2,5.8,3.3,2.8,3.3,4.5,9.9,6.2,3.1,2.8,4,2.4,4.8,6.1,7.4,51.1,"No, would not consider"
140,Less than 1 year,Magazine industry,Small (0 to 499),Outside North America,Direct to customer,7.6,3.6,4.5,4.8,2.2,4.6,5,7.4,6.4,5.3,4.4,5.8,3.9,6.4,6.8,7.4,49.1,"No, would not consider"
141,1 to 5 years,Newsprint industry,Large (500+),Outside North America,Indirect through broker,5.6,3.4,3.8,6.3,5.2,5.7,5.6,9.1,5.8,6,4.5,6,4.5,6.8,6.5,7.9,55.1,"No, would not consider"
142,Over 5 years,Newsprint industry,Large (500+),USA/North America,Indirect through broker,9.9,2.8,6.1,5.8,1.5,5.8,3.5,5.4,5.9,6.8,4,4.9,4,7.9,8.3,8,61.1,"Yes, would consider"
143,Over 5 years,Magazine industry,Large (500+),Outside North America,Direct to customer,9.2,3.4,7.7,6.9,4.9,7.4,5.8,4.5,7.2,6.1,4.2,4,4.5,8.9,9.4,8,72.1,"Yes, would consider"
144,Over 5 years,Newsprint industry,Small (0 to 499),USA/North America,Indirect through broker,9.1,3.8,4.9,5.1,3.1,7.5,4.5,7.3,5.7,5.2,4.5,3.4,4.2,7.4,6.6,8.4,72.1,"No, would not consider"
145,Over 5 years,Newsprint industry,Small (0 to 499),USA/North America,Indirect through broker,9.9,4.2,5.2,5.4,3.4,5.4,4.5,3.8,6.2,8,3.8,4,3.5,7,7.6,8.8,66.1,"Yes, would consider"
146,Over 5 years,Newsprint industry,Small (0 to 499),USA/North America,Direct to customer,9.9,4.2,1.2,4.1,3.2,5.4,4.5,3.8,4.9,6.2,4.1,4,3.5,7,7.8,7.9,66.1,"Yes, would consider"
147,Less than 1 year,Magazine industry,Small (0 to 499),Outside North America,Indirect through broker,6.6,3.8,3,4.7,4.5,5.3,6.6,8.2,5.8,3.5,4.6,4.1,3.3,6,6,6,53.1,"No, would not consider"
148,Over 5 years,Newsprint industry,Small (0 to 499),USA/North America,Indirect through broker,9.1,3.7,3.5,4.7,4.1,6.3,5.4,7.3,5.9,6.5,3.7,3,3.3,7.4,6,8.2,58.1,"Yes, would consider"
149,1 to 5 years,Newsprint industry,Large (500+),Outside North America,Direct to customer,5.1,5.1,4.4,6.2,5.8,5.4,7.8,5.9,5.4,3.9,5.1,6.3,4.5,7.6,9.1,8.4,55.1,"Yes, would consider"
150,Less than 1 year,Magazine industry,Large (500+),Outside North America,Indirect through broker,6,4.1,7.2,5.8,4.8,5.3,5.3,8,6.4,3.6,4.3,5.3,4,4.8,5,7.4,55.1,"No, would not consider"
151,Over 5 years,Magazine industry,Small (0 to 499),Outside North America,Indirect through broker,8.9,4.3,6.5,5.7,4.3,5.1,6.9,8.2,7.1,3.8,5,5.9,4.2,7.3,5.8,8,65.1,"No, would not consider"
152,1 to 5 years,Magazine industry,Large (500+),Outside North America,Indirect through broker,6.2,3.3,3.5,5.4,4,3.6,5.1,6.9,4.8,4.7,4,6.3,3.7,6.3,5.9,6.6,56.1,"No, would not consider"
153,Less than 1 year,Newsprint industry,Small (0 to 499),Outside North America,Indirect through broker,7.2,4.3,3.7,3.8,3.6,3.4,4.7,Excellent,4.5,2.9,3,4.1,2.5,5,5.3,7.6,52.1,"No, would not consider"
154,Over 5 years,Newsprint industry,Small (0 to 499),USA/North America,Direct to customer,8.8,3.5,8.5,5.4,2.8,8.1,4.5,6.7,8,5.6,4.1,2.3,3.9,7.1,6.8,7.5,69.1,"No, would not consider"
155,Less than 1 year,Magazine industry,Large (500+),Outside North America,Indirect through broker,6.3,5.1,4.7,5.3,3.7,4.1,6.6,8.4,6.3,4.2,4.4,5.1,3.4,6.3,6.1,7.1,55.1,"No, would not consider"
156,Over 5 years,Magazine industry,Small (0 to 499),USA/North America,Indirect through broker,9.7,2.8,3.7,5.8,3.7,5.7,4.7,4.8,4.8,1.6,4,4.1,3.6,6.8,5.9,7.9,61.1,"No, would not consider"
157,Less than 1 year,Magazine industry,Large (500+),Outside North America,Indirect through broker,5,3.6,6.7,4.4,4.1,4.2,4.9,8.2,6.4,4,3.7,4.8,3.1,5.2,5.3,7.6,48.1,"No, would not consider"
158,Less than 1 year,Magazine industry,Small (0 to 499),Outside North America,Direct to customer,7.4,3.4,6.1,4.3,5.8,4.4,4.8,7.2,6.1,5.1,4,5.6,3.7,6.3,5.6,7.1,48.1,"No, would not consider"
159,1 to 5 years,Newsprint industry,Small (0 to 499),Outside North America,Direct to customer,5.5,3.7,7.4,5.7,4.5,5.3,4.9,6,7.6,6,4.3,5.9,4.3,6.1,6.1,7.6,48.1,"No, would not consider"
160,1 to 5 years,Newsprint industry,Small (0 to 499),USA/North America,Direct to customer,9.1,3.6,6.4,4.8,3,6.2,4.6,8.3,7,6.1,4.6,4.3,3.9,7.3,7.4,8.2,59.1,"Yes, would consider"
161,Less than 1 year,Newsprint industry,Small (0 to 499),Outside North America,Indirect through broker,6.7,3.7,6,4.9,5.1,5.1,4.9,9.2,6.5,5.6,3.7,4.5,3.4,5.4,5.3,6.9,44.1,"No, would not consider"
162,1 to 5 years,Magazine industry,Large (500+),Outside North America,Direct to customer,6.3,4.5,8.6,6.4,4.9,6.8,5.9,8.8,8.4,6.5,6.4,6.2,5.2,8,7,8.1,62.1,"Yes, would consider"
163,1 to 5 years,Magazine industry,Small (0 to 499),USA/North America,Direct to customer,8.3,3.7,6,4.9,5.7,6.1,6.1,5.3,6.6,5.5,3.6,2.9,3.1,7.4,7,7.6,54.1,"No, would not consider"
164,1 to 5 years,Magazine industry,Small (0 to 499),USA/North America,Direct to customer,8.2,3.6,4.9,4,4.7,6,6,5.2,5.6,5.9,4.7,2.8,3,7.3,7.1,8.4,53.1,"No, would not consider"
165,1 to 5 years,Magazine industry,Small (0 to 499),USA/North America,Direct to customer,8.2,3.6,4.3,4,5.8,6,6,5.2,5.6,6.2,4,2.8,3,7.3,6.8,7.4,53.1,"No, would not consider"
166,Less than 1 year,Magazine industry,Small (0 to 499),USA/North America,Direct to customer,9,4.1,6.6,4.4,3.3,4.8,5,6,6.6,5.6,4.3,3.9,3.1,6.4,5.9,7.9,45.1,"No, would not consider"
167,Less than 1 year,Newsprint industry,Large (500+),Outside North America,Indirect through broker,7.1,3.4,5.9,3.7,3.8,5,5.9,7.8,6.1,7.2,3.6,3.1,2.7,5.7,6.1,7.2,44.1,"No, would not consider"
168,Less than 1 year,Newsprint industry,Large (500+),Outside North America,Indirect through broker,6.9,3.7,5.3,3.4,3.3,2.3,5.4,8.9,6.6,3.4,2.7,4.2,2,5.7,6.6,7.6,41.1,"No, would not consider"
169,1 to 5 years,Magazine industry,Small (0 to 499),USA/North America,Direct to customer,8.6,2.9,4.5,4,2.8,5.6,4,6.3,6.1,5.1,4,3,3,6.6,6.5,6.7,53.1,"No, would not consider"
170,Less than 1 year,Magazine industry,Large (500+),Outside North America,Indirect through broker,6.7,4,4.5,4.3,4.2,5.4,6.8,8.4,6.1,4,3.8,4.3,3.5,6.3,7.1,7.4,54.1,"No, would not consider"
171,Less than 1 year,Newsprint industry,Large (500+),Outside North America,Indirect through broker,7,3.3,4.9,5.6,4,4.8,4.2,9,5.5,5.3,3.3,5.2,3.7,5.4,7,6.2,55.1,"No, would not consider"
172,Over 5 years,Newsprint industry,Small (0 to 499),USA/North America,Indirect through broker,9.7,2.6,6.2,5.8,2.1,5.6,3.3,5.2,6.7,8.4,4.5,4.7,3.8,7.4,7,7.5,59.1,"Yes, would consider"
173,Over 5 years,Magazine industry,Small (0 to 499),USA/North America,Direct to customer,9.9,3.7,4.8,5.3,4.6,7,6.7,6.8,6.7,8,5,3.4,3.9,8.6,7.3,7.4,66.1,"Yes, would consider"
174,Less than 1 year,Newsprint industry,Small (0 to 499),USA/North America,Direct to customer,8.6,4.8,5.5,4.2,3.3,6,5.7,6.7,6.2,2.8,4.8,3.6,3.6,7.3,6.4,7.9,50.1,"No, would not consider"
175,Less than 1 year,Magazine industry,Large (500+),Outside North America,Indirect through broker,6.3,5.1,5.4,4.7,5.5,4.1,6.6,8.4,5.7,2.4,2.8,5.1,3.4,6.3,5.8,6.5,55.1,"No, would not consider"
176,Over 5 years,Magazine industry,Large (500+),Outside North America,Direct to customer,9.9,3.7,7.3,4.2,6.1,7,6.7,6.8,6.4,5.2,4.3,3.4,3.9,8.7,8.5,8.6,67.1,"Yes, would consider"
177,Over 5 years,Magazine industry,Large (500+),USA/North America,Direct to customer,9.3,2.4,5.3,5.8,2.6,7.2,4.5,6.2,6.5,4.1,4,4.4,4.5,8.6,8,8.6,65.1,"Yes, would consider"
178,Over 5 years,Newsprint industry,Large (500+),USA/North America,Direct to customer,9.7,5,6.3,5.8,5.2,7.5,6.1,6.7,7.5,6.1,4.9,3.4,4.1,8.4,7.8,8,66.1,"Yes, would consider"
179,Over 5 years,Newsprint industry,Small (0 to 499),USA/North America,Indirect through broker,9.7,2.6,6.1,5.3,2.4,5.6,3.3,5.2,5.5,7.1,4.6,4.7,3.8,7.4,6,8.1,59.1,"No, would not consider"
180,Over 5 years,Newsprint industry,Large (500+),USA/North America,Direct to customer,9.6,5.7,4.9,6.1,6.9,8.3,7.8,4.5,5.4,6.2,4,3,4.3,9.9,8.1,8.2,70.1,"Yes, would consider"
181,1 to 5 years,Magazine industry,Small (0 to 499),USA/North America,Direct to customer,7.6,2.5,6.5,6.3,3.8,7.1,4.2,5.8,6.9,5.5,4.4,3.8,4.2,8,7.1,7.2,51.1,"No, would not consider"
182,Over 5 years,Newsprint industry,Small (0 to 499),USA/North America,Indirect through broker,9.4,4.1,5.2,6.4,4.8,7.8,4.7,7.6,5.8,6.5,4.7,3.7,4.4,7.9,8.1,8.4,75.1,"Yes, would consider"
183,Over 5 years,Newsprint industry,Large (500+),Outside North America,Direct to customer,9.6,5.7,6.6,6.7,5.1,8.2,7.8,4.5,6.6,5.6,4.6,3,4.3,9.8,9,9.4,70.1,"Yes, would consider"
184,Over 5 years,Magazine industry,Large (500+),Outside North America,Direct to customer,9.3,5.1,5.5,5.8,5.6,6.6,6.3,7.4,6.3,5.7,4.4,4.6,4.3,8.9,8,9.4,72.1,"Yes, would consider"
185,Over 5 years,Magazine industry,Small (0 to 499),USA/North America,Indirect through broker,9.7,2.8,4.4,5.1,3.8,5.7,4.7,4.8,5.8,6.3,4.7,4.1,3.6,6.8,6.3,7.5,61.1,"No, would not consider"
186,Over 5 years,Newsprint industry,Small (0 to 499),USA/North America,Direct to customer,9.1,3.8,3.4,7.1,3,7.5,4.5,7.3,4.9,5.1,6,3.4,4.2,7.4,6.9,6.6,72.1,"No, would not consider"
187,Less than 1 year,Newsprint industry,Small (0 to 499),Outside North America,Indirect through broker,6.5,2.8,0.6,5.2,2.5,4.3,3.7,8.5,4.3,4.8,4.3,4.7,3.3,4.7,4,4.3,50.1,"No, would not consider"
188,Less than 1 year,Magazine industry,Large (500+),Outside North America,Indirect through broker,6.6,3.6,4,4,1.7,4.7,4.8,7.2,4.7,4.8,3.2,3.6,2.8,5.4,7.4,6.6,48.1,"No, would not consider"
189,1 to 5 years,Newsprint industry,Large (500+),Outside North America,Indirect through broker,5.8,3.6,6.9,6.6,5.1,5.9,5.8,9.3,7.1,3.4,5.9,6.1,4.6,7,6.6,7.4,56.1,"No, would not consider"
190,1 to 5 years,Magazine industry,Small (0 to 499),USA/North America,Direct to customer,8.7,3.7,3,5.6,4.2,7.4,4.8,3.8,5.4,3.6,5.5,3.5,4.2,7.1,6.5,7.1,61.1,"Yes, would consider"
191,Less than 1 year,Magazine industry,Small (0 to 499),USA/North America,Direct to customer,8.8,3.9,5.4,4.2,3.4,4.7,4.8,5.8,6.9,5.8,3.8,3.7,2.9,6.3,7.9,6.7,44.1,"Yes, would consider"
192,Less than 1 year,Magazine industry,Large (500+),Outside North America,Indirect through broker,6.4,4.5,2.5,5.8,4,5.7,5.7,8.4,4.7,5,4,5.8,4.4,5.5,5.6,6.7,59.1,"No, would not consider"
193,Less than 1 year,Magazine industry,Small (0 to 499),Outside North America,Indirect through broker,6.7,3.6,0.5,3.2,3.3,4.7,4.8,7.2,4.3,5,2.9,3.6,2.8,5.4,4.5,7.2,48.1,"No, would not consider"
194,Less than 1 year,Magazine industry,Large (500+),Outside North America,Indirect through broker,5.2,3.8,5.5,4.7,3.3,4.3,5,8.4,6.1,3.6,4.3,4.9,3.3,5.4,6.5,7.1,50.1,"No, would not consider"
195,Less than 1 year,Newsprint industry,Small (0 to 499),Outside North America,Indirect through broker,6.4,3.3,2.7,4,5.3,4.7,4.5,8.8,3.7,7,3.6,4.1,3,4.8,5.5,6,40.1,"No, would not consider"
196,Over 5 years,Newsprint industry,Large (500+),USA/North America,Indirect through broker,7.6,3.6,2.1,5.2,4.8,6.6,5.4,4.4,4.3,6.8,4.4,3.9,4,8.2,6.9,8.4,58.1,"Yes, would consider"
197,1 to 5 years,Newsprint industry,Large (500+),Outside North America,Indirect through broker,5.9,4,3.3,7.8,3.3,5.9,6.2,8.4,5.2,6.6,6,7.5,5.4,7.9,7.8,8.6,62.1,"Yes, would consider"
198,Over 5 years,Newsprint industry,Large (500+),Outside North America,Direct to customer,9.7,5,7.9,6.3,5.3,7.6,6.1,6.8,6.6,5.2,4.4,3.5,4.2,8.6,8.8,7.9,66.1,"Yes, would consider"
199,1 to 5 years,Newsprint industry,Large (500+),Outside North America,Direct to customer,5.5,5.5,6.9,6.6,6.5,5.7,8.2,6.3,7,5.3,5.9,6.7,4.9,8.2,7.1,7.6,59.1,"Yes, would consider"
200,Over 5 years,Newsprint industry,Small (0 to 499),Outside North America,Direct to customer,9.7,5,5.6,5.9,5.3,7.6,6.1,6.8,6.9,1.2,4.3,3.5,4.2,8.6,8.1,8.5,66.1,"Yes, would consider"
